Product Name,Original Price,Discounted Price,Discount Percentage,Customer Rating (out of 5),Number of Reviews,Product URL,Category
Blueflame 20 Litre Microwave Oven - Black(1 YR WRTY),"UGX 350,001","UGX 189,900",46%,4.3,193.0,https://www.jumia.ug/blueflame-20-litre-microwave-oven-black1-yr-wrty-83152815.html,Kitchen Appliance
"""36 Litres 2 Tap Commercial Electric Double Juice Dispenser And Cooler –Transparent""","UGX 1,650,000","UGX 1,630,000",1%,5.0,1.0,https://www.jumia.ug/generic-36-litres-2-tap-commercial-electric-double-juice-dispenser-and-cooler-transparent-244087279.html,Kitchen Appliance
"SPJ 4 Litres, Hot Air Fryer, With Preheating And Keeping Warm, Without Oil And Fat, Non-Stick Basket - Cream","UGX 140,000","UGX 97,400",30%,3.9,45.0,https://www.jumia.ug/spj-4-litres-hot-air-fryer-with-preheating-and-keeping-warm-without-oil-and-fat-non-stick-basket-cream-246188956.html,Kitchen Appliance
Pixel 1.6 Liters Glass Jar Juice Blender With 2 Jars & Grinder (3 In1) -  1 Yr Wrnty,"UGX 100,000","UGX 79,900",20%,3.7,88.0,https://www.jumia.ug/pixel-1.6-liters-glass-jar-juice-blender-with-2-jars-grinder-3-in1-1-yr-wrnty-130427045.html,Kitchen Appliance
ADH 2 In 1 Unbreakable Jar Blender ACB 737C(25D) - White,"UGX 150,000","UGX 51,500",66%,3.9,340.0,https://www.jumia.ug/adh-2-in-1-unbreakable-jar-blender-acb-737c25d-white-185764633.html,Kitchen Appliance
Mini Portable Rechargeable  Blender - Green.,"UGX 59,981","UGX 28,000",53%,3.1,270.0,https://www.jumia.ug/mini-portable-rechargeable-blender-green-generic-mpg351380.html,Kitchen Appliance
Global Star -Ov38 38 Litres Oven - Rotisserie Grilling - Black,"UGX 400,000","UGX 370,000",8%,,,https://www.jumia.ug/global-star-ov38-38-litres-oven-rotisserie-grilling-black-256796073.html,Kitchen Appliance
Lion Kettle aluminum 7 liter,"UGX 80,000","UGX 70,000",13%,,,https://www.jumia.ug/lion-kettle-aluminum-7-liter-237460098.html,Kitchen Appliance
Lion Kettle Aluminum 7 Liter,"UGX 80,000","UGX 70,000",13%,,,https://www.jumia.ug/lion-kettle-aluminum-7-liter-252576420.html,Kitchen Appliance
SPJ Double Gas Burner / Stove – Silver 1 Year Warranty,"UGX 70,000","UGX 48,000",31%,3.9,81.0,https://www.jumia.ug/spj-double-gas-burner-stove-silver-1-year-warranty-243720717.html,Kitchen Appliance
